TIER,PLAYER,COUNT,SCORE,CITS,,
,Mausida,0,0,,,
,Maximus Decimus,0,0,,,
,Mazura,0,0,,,
,Meddry,0,0,,,
,Mingo 2,0,0,,,
,Modnar,0,0,,,
,Moginn,0,0,,,
,Mogra,0,0,,,
,Monster Killer,0,0,,,
,Morardin,0,0,,,
,Morn,0,0,,,
,Mr BaCk,0,0,,,
,Muradin Bronzebeard,0,0,,,
,NaChos,0,0,,,
,Nevio500,0,0,,,
,Nevyn,0,0,,,
,Nobody special,0,0,,,
,Norbee1984,0,0,,,
,Nygus,0,0,,,
,Ognisty Smok,0,0,,,
,Ollin,0,0,,,
,Osferth,0,0,,,
,Pearl,0,0,,,
,Portia,0,0,,,
,Priligy,0,0,,,
,Pryntyl,0,0,,,
,Puck,0,0,,,
,Quick,0,0,,,
,RED GUARDIAN,0,0,,,
,Rain,0,0,,,
,RatkoM,0,0,,,
,Ray Gillette,0,0,,,
,Rebellion,0,0,,,
,RedDragon,0,0,,,
,Rexfury,0,0,,,
,Rhodorix,0,0,,,
,Rori,0,0,,,
,SJ,0,0,,,
,Sabar,0,0,,,
,Sailv,0,0,,,
,Samujas,0,0,,,
,Sassy Gal,0,0,,,
,Saucy Joy,0,0,,,
,Secret Keeper,0,0,,,
,Sihtric,0,0,,,
,Silverblade,0,0,,,
,Sir Chthulhu I,0,0,,,
,Sir Doc,0,0,,,
,Sire Menion,0,0,,,
,Sloth,0,0,,,
,Smok,0,0,,,
,Smokn,0,0,,,
,StarSailor,0,0,,,
,Steapa,0,0,,,
,Sterling Archer,0,0,,,
,Tex Willer,0,0,,,
,Teyuoan,0,0,,,
,The Gladiator,0,0,,,
,Thor,0,0,,,
,Thorn K500,0,0,,,
,Tolnozin,0,0,,,
,Tonto,0,0,,,
,Tricolor Carioca,0,0,,,
,Tumi,0,0,,,
,Turbrimir,0,0,,,
,Tygojind,0,0,,,
,Tygoran,0,0,,,
,Tygradi,0,0,,,
,Unicorn X,0,0,,,
,Vatharia,0,0,,,
,Viper,0,0,,,
,Viper I,0,0,,,
,Xavier St Cloud,0,0,,,
,Xena,0,0,,,
,Xenia,0,0,,,
,ZaCk,0,0,,,
,aganaway,0,0,,,
,attacking,0,0,,,
,desperados,0,0,,,
,here,0,0,,,
,nallekarhu,0,0,,,
,nervous,0,0,,,
,semoury,0,0,,,
